Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,SEO Hidden (product.metafields.seo.hidden)
nfl-bucket-hat-custom-name-gifts-for-fans--limited-edition-01,NYJ Jets Bucket Hat Custom Name Gifts For Fans - Limited Edition,"<p>Each our bucket hat is meticulously personalized with the following features:</p>
<ul>
<li>Made from 100% premium lightweight polyester, this hat is both comfortable and breathable, perfect for any outdoor activity.</li>
<li>In addition to its style and comfort, our Bucket Hat offers great sun protection. With a universal fit, one size fits most. The thread line color options are limited to black or white.</li>
<li>Plus, each hat is custom printed, cut, and sewn specifically for you when you place your order, ensuring a one-of-a-kind design.</li>
<li>One size fits most:</li>
</ul>
<div style=""text-align: left;""><img src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/UNIVERSAL-FIT_600x600.jpg?v=1743759312"" alt="""" style=""float: none;""></div>",,Bucket Hat,"search-hidden,bucket hat",TRUE,Type,Bucket Hat,,,,,NT301225TT-CA2-NYJ Jets,0,shopify,0,continue,manual,32.99,,TRUE,,,https://img.thesitebase.net/10421/10421612/products/ver_1a44530ad4c370cb73d1cb5c1aaa40ee9/1766568118659.jpg,1,NYJ Jets Bucket Hat Custom Name Gifts For Fans - Limited Edition,FALSE,,Adult,Unisex,,NYJ Jets Bucket Hat Custom Name Gifts For Fans - Limited Edition,,,,new,FALSE,,,,,,,lb,,,1
nfl-bucket-hat-custom-name-gifts-for-fans--limited-edition-02,PHI Eagles Bucket Hat Custom Name Gifts For Fans - Limited Edition,"<p>Each our bucket hat is meticulously personalized with the following features:</p>
<ul>
<li>Made from 100% premium lightweight polyester, this hat is both comfortable and breathable, perfect for any outdoor activity.</li>
<li>In addition to its style and comfort, our Bucket Hat offers great sun protection. With a universal fit, one size fits most. The thread line color options are limited to black or white.</li>
<li>Plus, each hat is custom printed, cut, and sewn specifically for you when you place your order, ensuring a one-of-a-kind design.</li>
<li>One size fits most:</li>
</ul>
<div style=""text-align: left;""><img src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/UNIVERSAL-FIT_600x600.jpg?v=1743759312"" alt="""" style=""float: none;""></div>",,,"search-hidden,bucket hat",TRUE,Type,Bucket Hat,,,,,NT301225TT-CA2-PHI Eagles,0,shopify,0,continue,manual,32.99,,TRUE,,,https://img.thesitebase.net/10421/10421612/products/ver_1a44530ad4c370cb73d1cb5c1aaa40ee9/1766567943155.jpg,1,PHI Eagles Bucket Hat Custom Name Gifts For Fans - Limited Edition,FALSE,,Adult,Unisex,,PHI Eagles Bucket Hat Custom Name Gifts For Fans - Limited Edition,,,,new,FALSE,,,,,,,lb,,,1
nfl-bucket-hat-custom-name-gifts-for-fans--limited-edition-03,CHI Bears Bucket Hat Custom Name Gifts For Fans - Limited Edition,"<p>Each our bucket hat is meticulously personalized with the following features:</p>
<ul>
<li>Made from 100% premium lightweight polyester, this hat is both comfortable and breathable, perfect for any outdoor activity.</li>
<li>In addition to its style and comfort, our Bucket Hat offers great sun protection. With a universal fit, one size fits most. The thread line color options are limited to black or white.</li>
<li>Plus, each hat is custom printed, cut, and sewn specifically for you when you place your order, ensuring a one-of-a-kind design.</li>
<li>One size fits most:</li>
</ul>
<div style=""text-align: left;""><img src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/UNIVERSAL-FIT_600x600.jpg?v=1743759312"" alt="""" style=""float: none;""></div>",,,"search-hidden,bucket hat",TRUE,Type,Bucket Hat,,,,,NT301225TT-CA2-CHI Bears,0,shopify,0,continue,manual,32.99,,TRUE,,,https://img.thesitebase.net/10421/10421612/products/ver_1a44530ad4c370cb73d1cb5c1aaa40ee9/1766568140830.jpg,1,CHI Bears Bucket Hat Custom Name Gifts For Fans - Limited Edition,FALSE,,Adult,Unisex,,CHI Bears Bucket Hat Custom Name Gifts For Fans - Limited Edition,,,,new,FALSE,,,,,,,lb,,,1
nfl-bucket-hat-custom-name-gifts-for-fans--limited-edition-04,SF 49ers Bucket Hat Custom Name Gifts For Fans - Limited Edition,"<p>Each our bucket hat is meticulously personalized with the following features:</p>
<ul>
<li>Made from 100% premium lightweight polyester, this hat is both comfortable and breathable, perfect for any outdoor activity.</li>
<li>In addition to its style and comfort, our Bucket Hat offers great sun protection. With a universal fit, one size fits most. The thread line color options are limited to black or white.</li>
<li>Plus, each hat is custom printed, cut, and sewn specifically for you when you place your order, ensuring a one-of-a-kind design.</li>
<li>One size fits most:</li>
</ul>
<div style=""text-align: left;""><img src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/UNIVERSAL-FIT_600x600.jpg?v=1743759312"" alt="""" style=""float: none;""></div>",,,"search-hidden,bucket hat",TRUE,Type,Bucket Hat,,,,,NT301225TT-CA2-SF 49ers,0,shopify,0,continue,manual,32.99,,TRUE,,,https://img.thesitebase.net/10421/10421612/products/ver_1a44530ad4c370cb73d1cb5c1aaa40ee9/1766567936105.jpg,1,SF 49ers Bucket Hat Custom Name Gifts For Fans - Limited Edition,FALSE,,Adult,Unisex,,SF 49ers Bucket Hat Custom Name Gifts For Fans - Limited Edition,,,,new,FALSE,,,,,,,lb,,,1
nfl-bucket-hat-custom-name-gifts-for-fans--limited-edition-05,MIN Vikings Bucket Hat Custom Name Gifts For Fans - Limited Edition,"<p>Each our bucket hat is meticulously personalized with the following features:</p>
<ul>
<li>Made from 100% premium lightweight polyester, this hat is both comfortable and breathable, perfect for any outdoor activity.</li>
<li>In addition to its style and comfort, our Bucket Hat offers great sun protection. With a universal fit, one size fits most. The thread line color options are limited to black or white.</li>
<li>Plus, each hat is custom printed, cut, and sewn specifically for you when you place your order, ensuring a one-of-a-kind design.</li>
<li>One size fits most:</li>
</ul>
<div style=""text-align: left;""><img src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/UNIVERSAL-FIT_600x600.jpg?v=1743759312"" alt="""" style=""float: none;""></div>",,,"search-hidden,bucket hat",TRUE,Type,Bucket Hat,,,,,NT301225TT-CA2-MIN Vikings,0,shopify,0,continue,manual,32.99,,TRUE,,,https://img.thesitebase.net/10421/10421612/products/ver_1a44530ad4c370cb73d1cb5c1aaa40ee9/1766568125919.jpg,1,MIN Vikings Bucket Hat Custom Name Gifts For Fans - Limited Edition,FALSE,,Adult,Unisex,,MIN Vikings Bucket Hat Custom Name Gifts For Fans - Limited Edition,,,,new,FALSE,,,,,,,lb,,,1
nfl-bucket-hat-custom-name-gifts-for-fans--limited-edition-06,PIT Steelers Bucket Hat Custom Name Gifts For Fans - Limited Edition,"<p>Each our bucket hat is meticulously personalized with the following features:</p>
<ul>
<li>Made from 100% premium lightweight polyester, this hat is both comfortable and breathable, perfect for any outdoor activity.</li>
<li>In addition to its style and comfort, our Bucket Hat offers great sun protection. With a universal fit, one size fits most. The thread line color options are limited to black or white.</li>
<li>Plus, each hat is custom printed, cut, and sewn specifically for you when you place your order, ensuring a one-of-a-kind design.</li>
<li>One size fits most:</li>
</ul>
<div style=""text-align: left;""><img src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/UNIVERSAL-FIT_600x600.jpg?v=1743759312"" alt="""" style=""float: none;""></div>",,,"search-hidden,bucket hat",TRUE,Type,Bucket Hat,,,,,NT301225TT-CA2-PIT Steelers,0,shopify,0,continue,manual,32.99,,TRUE,,,https://img.thesitebase.net/10421/10421612/products/ver_1a44530ad4c370cb73d1cb5c1aaa40ee9/1766568092634.jpg,1,PIT Steelers Bucket Hat Custom Name Gifts For Fans - Limited Edition,FALSE,,Adult,Unisex,,PIT Steelers Bucket Hat Custom Name Gifts For Fans - Limited Edition,,,,new,FALSE,,,,,,,lb,,,1
nfl-bucket-hat-custom-name-gifts-for-fans--limited-edition-07,CAR Panthers Bucket Hat Custom Name Gifts For Fans - Limited Edition,"<p>Each our bucket hat is meticulously personalized with the following features:</p>
<ul>
<li>Made from 100% premium lightweight polyester, this hat is both comfortable and breathable, perfect for any outdoor activity.</li>
<li>In addition to its style and comfort, our Bucket Hat offers great sun protection. With a universal fit, one size fits most. The thread line color options are limited to black or white.</li>
<li>Plus, each hat is custom printed, cut, and sewn specifically for you when you place your order, ensuring a one-of-a-kind design.</li>
<li>One size fits most:</li>
</ul>
<div style=""text-align: left;""><img src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/UNIVERSAL-FIT_600x600.jpg?v=1743759312"" alt="""" style=""float: none;""></div>",,,"search-hidden,bucket hat",TRUE,Type,Bucket Hat,,,,,NT301225TT-CA2-CAR Panthers,0,shopify,0,continue,manual,32.99,,TRUE,,,https://img.thesitebase.net/10421/10421612/products/ver_1a44530ad4c370cb73d1cb5c1aaa40ee9/1766568228545.jpg,1,CAR Panthers Bucket Hat Custom Name Gifts For Fans - Limited Edition,FALSE,,Adult,Unisex,,CAR Panthers Bucket Hat Custom Name Gifts For Fans - Limited Edition,,,,new,FALSE,,,,,,,lb,,,1
nfl-bucket-hat-custom-name-gifts-for-fans--limited-edition-08,JAX Jaguars Bucket Hat Custom Name Gifts For Fans - Limited Edition,"<p>Each our bucket hat is meticulously personalized with the following features:</p>
<ul>
<li>Made from 100% premium lightweight polyester, this hat is both comfortable and breathable, perfect for any outdoor activity.</li>
<li>In addition to its style and comfort, our Bucket Hat offers great sun protection. With a universal fit, one size fits most. The thread line color options are limited to black or white.</li>
<li>Plus, each hat is custom printed, cut, and sewn specifically for you when you place your order, ensuring a one-of-a-kind design.</li>
<li>One size fits most:</li>
</ul>
<div style=""text-align: left;""><img src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/UNIVERSAL-FIT_600x600.jpg?v=1743759312"" alt="""" style=""float: none;""></div>",,,"search-hidden,bucket hat",TRUE,Type,Bucket Hat,,,,,NT301225TT-CA2-JAX Jaguars,0,shopify,0,continue,manual,32.99,,TRUE,,,https://img.thesitebase.net/10421/10421612/products/ver_1a44530ad4c370cb73d1cb5c1aaa40ee9/1766567978374.jpg,1,JAX Jaguars Bucket Hat Custom Name Gifts For Fans - Limited Edition,FALSE,,Adult,Unisex,,JAX Jaguars Bucket Hat Custom Name Gifts For Fans - Limited Edition,,,,new,FALSE,,,,,,,lb,,,1
nfl-bucket-hat-custom-name-gifts-for-fans--limited-edition-09,ATL Falcons Bucket Hat Custom Name Gifts For Fans - Limited Edition,"<p>Each our bucket hat is meticulously personalized with the following features:</p>
<ul>
<li>Made from 100% premium lightweight polyester, this hat is both comfortable and breathable, perfect for any outdoor activity.</li>
<li>In addition to its style and comfort, our Bucket Hat offers great sun protection. With a universal fit, one size fits most. The thread line color options are limited to black or white.</li>
<li>Plus, each hat is custom printed, cut, and sewn specifically for you when you place your order, ensuring a one-of-a-kind design.</li>
<li>One size fits most:</li>
</ul>
<div style=""text-align: left;""><img src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/UNIVERSAL-FIT_600x600.jpg?v=1743759312"" alt="""" style=""float: none;""></div>",,,"search-hidden,bucket hat",TRUE,Type,Bucket Hat,,,,,NT301225TT-CA2-ATL Falcons,0,shopify,0,continue,manual,32.99,,TRUE,,,https://img.thesitebase.net/10421/10421612/products/ver_1a44530ad4c370cb73d1cb5c1aaa40ee9/1766568220369.jpg,1,ATL Falcons Bucket Hat Custom Name Gifts For Fans - Limited Edition,FALSE,,Adult,Unisex,,ATL Falcons Bucket Hat Custom Name Gifts For Fans - Limited Edition,,,,new,FALSE,,,,,,,lb,,,1
nfl-bucket-hat-custom-name-gifts-for-fans--limited-edition-10,LAC Chargers Bucket Hat Custom Name Gifts For Fans - Limited Edition,"<p>Each our bucket hat is meticulously personalized with the following features:</p>
<ul>
<li>Made from 100% premium lightweight polyester, this hat is both comfortable and breathable, perfect for any outdoor activity.</li>
<li>In addition to its style and comfort, our Bucket Hat offers great sun protection. With a universal fit, one size fits most. The thread line color options are limited to black or white.</li>
<li>Plus, each hat is custom printed, cut, and sewn specifically for you when you place your order, ensuring a one-of-a-kind design.</li>
<li>One size fits most:</li>
</ul>
<div style=""text-align: left;""><img src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/UNIVERSAL-FIT_600x600.jpg?v=1743759312"" alt="""" style=""float: none;""></div>",,,"search-hidden,bucket hat",TRUE,Type,Bucket Hat,,,,,NT301225TT-CA2-LAC Chargers,0,shopify,0,continue,manual,32.99,,TRUE,,,https://img.thesitebase.net/10421/10421612/products/ver_1a44530ad4c370cb73d1cb5c1aaa40ee9/1766568184169.jpg,1,LAC Chargers Bucket Hat Custom Name Gifts For Fans - Limited Edition,FALSE,,Adult,Unisex,,LAC Chargers Bucket Hat Custom Name Gifts For Fans - Limited Edition,,,,new,FALSE,,,,,,,lb,,,1
