Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,SEO Hidden (product.metafields.seo.hidden)
philadelphia-eagles-classic-cap-style-1,Philadelphia Eagles Classic Cap ,"<p>Each Cap is meticulously personalized with the following features:</p>
<ul>
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<div style=""text-align: left;""><img style=""margin-right: 0.015625px; float: none;"" alt="""" src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/Cap-size_600x600.jpg?v=1775534818""></div>",,Cap,"search-hidden,cap",TRUE,,,,,,,NT241225TT-CA50,0,shopify,0,continue,manual,29.95,,TRUE,,,https://gifnestbuys.com/wp-content/uploads/2025/12/Philadelphia-Eagles-Cap-TANTN19643-mk1.jpg,1,Philadelphia Eagles Classic Cap ,FALSE,,Adult,Unisex,,Philadelphia Eagles Classic Cap ,,,,new,FALSE,,,,,,,lb,,,1
philadelphia-eagles-classic-cap-style-2,Philadelphia Eagles Classic Cap ,"<p>Each Cap is meticulously personalized with the following features:</p>
<ul>
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<div style=""text-align: left;""><img style=""margin-right: 0.015625px; float: none;"" alt="""" src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/Cap-size_600x600.jpg?v=1775534818""></div>",,Cap,"search-hidden,cap",TRUE,,,,,,,NT241225TT-CA51,0,shopify,0,continue,manual,29.95,,TRUE,,,https://gifnestbuys.com/wp-content/uploads/2025/12/Philadelphia-Eagles-Cap-TANTN19636-mk1.jpg,1,Philadelphia Eagles Classic Cap ,FALSE,,Adult,Unisex,,Philadelphia Eagles Classic Cap ,,,,new,FALSE,,,,,,,lb,,,1
philadelphia-eagles-classic-cap-style-3,Philadelphia Eagles Classic Cap ,"<p>Each Cap is meticulously personalized with the following features:</p>
<ul>
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<div style=""text-align: left;""><img style=""margin-right: 0.015625px; float: none;"" alt="""" src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/Cap-size_600x600.jpg?v=1775534818""></div>",,Cap,"search-hidden,cap",TRUE,,,,,,,NT241225TT-CA52,0,shopify,0,continue,manual,29.95,,TRUE,,,https://gifnestbuys.com/wp-content/uploads/2025/12/TANTN19637-Classic-Cap-Philadelphia-Eagles-01.jpg,1,Philadelphia Eagles Classic Cap ,FALSE,,Adult,Unisex,,Philadelphia Eagles Classic Cap ,,,,new,FALSE,,,,,,,lb,,,1
philadelphia-eagles-2025-nfc-east-division-champions-classic-cap-style-4,Philadelphia Eagles NFC East Division Champions Classic Cap ,"<p>Each Cap is meticulously personalized with the following features:</p>
<ul>
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<div style=""text-align: left;""><img style=""margin-right: 0.015625px; float: none;"" alt="""" src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/Cap-size_600x600.jpg?v=1775534818""></div>",,Cap,"search-hidden,cap",TRUE,,,,,,,NT241225TT-CA53,0,shopify,0,continue,manual,29.95,,TRUE,,,https://gifnestbuys.com/wp-content/uploads/2025/12/Philadelphia-Eagles-2025-NFC-East-Division-Champions-Cap-HOATT15285.jpg,1,Philadelphia Eagles 2025 NFC East Division Champions Classic Cap ,FALSE,,Adult,Unisex,,Philadelphia Eagles 2025 NFC East Division Champions Classic Cap ,,,,new,FALSE,,,,,,,lb,,,1
philadelphia-eagles-classic-cap-style-5,Philadelphia Eagles Classic Cap ,"<p>Each Cap is meticulously personalized with the following features:</p>
<ul>
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<div style=""text-align: left;""><img style=""margin-right: 0.015625px; float: none;"" alt="""" src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/Cap-size_600x600.jpg?v=1775534818""></div>",,Cap,"search-hidden,cap",TRUE,,,,,,,NT241225TT-CA54,0,shopify,0,continue,manual,29.95,,TRUE,,,https://gifnestbuys.com/wp-content/uploads/2025/12/Philadelphia-Eagles-Cap-TANTN19642-mk1.jpg,1,Philadelphia Eagles Classic Cap ,FALSE,,Adult,Unisex,,Philadelphia Eagles Classic Cap ,,,,new,FALSE,,,,,,,lb,,,1
philadelphia-eagles-2025-classic-cap-style-6,Philadelphia Eagles Classic Cap ,"<p>Each Cap is meticulously personalized with the following features:</p>
<ul>
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<div style=""text-align: left;""><img style=""margin-right: 0.015625px; float: none;"" alt="""" src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/Cap-size_600x600.jpg?v=1775534818""></div>",,Cap,"search-hidden,cap",TRUE,,,,,,,NT241225TT-CA55,0,shopify,0,continue,manual,29.95,,TRUE,,,https://gifnestbuys.com/wp-content/uploads/2025/12/NGHIAVT6096-Philadelphia-Eagles-2025-Classic-Cap.jpg,1,Philadelphia Eagles 2025 Classic Cap ,FALSE,,Adult,Unisex,,Philadelphia Eagles 2025 Classic Cap ,,,,new,FALSE,,,,,,,lb,,,1
philadelphia-eagles-classic-cap-style-7,Philadelphia Eagles Classic Cap ,"<p>Each Cap is meticulously personalized with the following features:</p>
<ul>
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<div style=""text-align: left;""><img style=""margin-right: 0.015625px; float: none;"" alt="""" src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/Cap-size_600x600.jpg?v=1775534818""></div>",,Cap,"search-hidden,cap",TRUE,,,,,,,NT241225TT-CA56,0,shopify,0,continue,manual,29.95,,TRUE,,,https://gifnestbuys.com/wp-content/uploads/2025/12/Philadelphia-Eagles-Cap-TANTN19638-mk1.jpg,1,Philadelphia Eagles Classic Cap ,FALSE,,Adult,Unisex,,Philadelphia Eagles Classic Cap ,,,,new,FALSE,,,,,,,lb,,,1
philadelphia-eagles-2025-nfc-east-division-champions-classic-cap-style-8,Philadelphia Eagles NFC East Division Champions Classic Cap ,"<p>Each Cap is meticulously personalized with the following features:</p>
<ul>
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<div style=""text-align: left;""><img style=""margin-right: 0.015625px; float: none;"" alt="""" src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/Cap-size_600x600.jpg?v=1775534818""></div>",,Cap,"search-hidden,cap",TRUE,,,,,,,NT241225TT-CA57,0,shopify,0,continue,manual,29.95,,TRUE,,,https://gifnestbuys.com/wp-content/uploads/2025/12/Philadelphia-Eagles-2025-NFC-Easst-Division-Champions-Classic-Cap-TMTHU2802.jpg,1,Philadelphia Eagles 2025 NFC East Division Champions Classic Cap ,FALSE,,Adult,Unisex,,Philadelphia Eagles 2025 NFC East Division Champions Classic Cap ,,,,new,FALSE,,,,,,,lb,,,1
philadelphia-eagles-2025-nfc-east-division-champions-classic-cap-style-9,Philadelphia Eagles NFC East Division Champions Classic Cap ,"<p>Each Cap is meticulously personalized with the following features:</p>
<ul>
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<div style=""text-align: left;""><img style=""margin-right: 0.015625px; float: none;"" alt="""" src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/Cap-size_600x600.jpg?v=1775534818""></div>",,Cap,"search-hidden,cap",TRUE,,,,,,,NT241225TT-CA58,0,shopify,0,continue,manual,29.95,,TRUE,,,https://gifnestbuys.com/wp-content/uploads/2025/12/Philadelphia-Eagles-2025-NFC-Easst-Division-Champions-Classic-Cap-TMTHU2825.jpg,1,Philadelphia Eagles 2025 NFC East Division Champions Classic Cap ,FALSE,,Adult,Unisex,,Philadelphia Eagles 2025 NFC East Division Champions Classic Cap ,,,,new,FALSE,,,,,,,lb,,,1
philadelphia-eagles-2025-nfc-east-division-champions-classic-cap-style-10,Philadelphia Eagles NFC East Division Champions Classic Cap ,"<p>Each Cap is meticulously personalized with the following features:</p>
<ul>
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<div style=""text-align: left;""><img style=""margin-right: 0.015625px; float: none;"" alt="""" src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/Cap-size_600x600.jpg?v=1775534818""></div>",,Cap,"search-hidden,cap",TRUE,,,,,,,NT241225TT-CA59,0,shopify,0,continue,manual,29.95,,TRUE,,,https://gifnestbuys.com/wp-content/uploads/2025/12/Philadelphia-Eagles-2025-NFC-East-Division-Champions-Classic-Cap-MAITM14183.jpg,1,Philadelphia Eagles 2025 NFC East Division Champions Classic Cap ,FALSE,,Adult,Unisex,,Philadelphia Eagles 2025 NFC East Division Champions Classic Cap ,,,,new,FALSE,,,,,,,lb,,,1
